family,n_iso,n_genes,median_idr,mean_idr,tf_frac
Eukaryotic NMN adenylyltransferase family,3,1,0.0,0.0,0.0
EBP family,5,1,0.0,0.0,0.0
ELP3 family,4,1,0.0,0.0,0.0
Dynein light intermediate chain family,5,1,0.0,0.0,0.0
Dynein light chain LC1-type family,3,1,0.0,4.415,0.0
Dynactin subunits 5/6 family,3,1,0.0,0.0,0.0
Dynactin subunit 3 family,3,1,0.0,0.0,0.0
Diphthine synthase family,6,1,0.0,0.0,0.0
SNAP family,3,1,0.0,0.0,0.0
2-5A synthase family,10,3,0.0,1.692,0.0
TRAPP small subunits family,7,2,0.0,32.37,0.0
LHFP family,3,1,0.0,33.333,0.0
Inward rectifier-type potassium channel (TC 1.A.2.1) family,3,1,0.0,2.151,0.0
Intercrine alpha (chemokine CxC) family,7,1,0.0,6.866,0.0
Integrator subunit 4 family,3,1,0.0,0.692,0.0
PSMG4 family,3,1,0.0,33.333,0.0
PRKRA family,3,1,0.0,2.13,0.0
KAE1 / TsaD family,3,1,0.0,0.0,0.0
Threonine synthase family,5,1,0.0,0.0,0.0
Thiolase-like superfamily,11,2,0.0,12.903,0.0
CDP-alcohol phosphatidyltransferase class-I family,3,1,0.0,11.172,0.0
CDKN2 cyclin-dependent kinase inhibitor family,4,1,0.0,25.0,0.0
Tetraspanin (TM4SF) family,25,7,0.0,6.929,0.0
Tetrahydrofolate dehydrogenase/cyclohydrolase family,5,1,0.0,5.791,0.0
Terpene cyclase/mutase family,3,1,0.0,0.0,0.0
Tango2 family,6,1,0.0,4.217,0.0
Taffazin family,9,1,0.0,0.0,0.0
PGAP2 family,5,1,0.0,6.194,0.0
Isochorismatase family,3,1,0.0,0.0,0.0
PNP/MTAP phosphorylase family,7,1,0.0,0.0,0.0
PMP-22/EMP/MP20 family,6,2,0.0,0.0,0.0
KLHL3 family,3,1,0.0,1.363,0.0
CCDC90 family,3,1,0.0,6.168,0.0
CCDC169 family,6,1,0.0,12.17,0.0
Triosephosphate isomerase family,3,1,0.0,0.0,0.0
Transketolase family,3,1,0.0,0.0,0.0
Transglutaminase superfamily,6,2,0.0,1.861,0.0
Trans-sulfuration enzymes family,3,1,0.0,0.0,0.0
Tom5 family,3,1,0.0,33.333,0.0
LDH/MDH superfamily,11,3,0.0,1.563,0.0
Low molecular weight phosphotyrosine protein phosphatase family,4,1,0.0,0.0,0.0
Lipoxygenase family,9,2,0.0,3.125,0.0
Laat-1 family,3,1,0.0,0.0,0.0
LYSET family,3,1,0.0,0.0,0.0
PIGP family,3,1,0.0,0.0,0.0
Bile acid:sodium symporter (BASS) (TC 2.A.28) family,7,1,0.0,0.0,0.0
BPI/LBP/Plunc superfamily,4,1,0.0,2.84,0.0
Tubulin family,6,1,0.0,0.0,0.0
ERG2 family,5,1,0.0,0.0,0.0
SHMT family,7,2,0.0,3.78,0.0
SEC20 family,4,1,0.0,0.0,0.0
Eukaryotic mitochondrial porin family,3,1,0.0,0.0,0.0
Eukaryotic RPB8 RNA polymerase subunit family,5,1,0.0,2.743,0.0
Glycosyltransferase 14 family,3,1,0.0,3.417,0.0
Gluconokinase GntK/GntV family,3,1,0.0,8.986,0.0
Glu/Leu/Phe/Val dehydrogenases family,3,1,0.0,3.405,0.0
Gfo/Idh/MocA family,6,2,0.0,0.0,0.0
Gasdermin family,9,2,0.0,2.93,0.0
Gamma-glutamylcyclotransferase family,4,1,0.0,0.0,0.0
RNA polymerase beta chain family,5,1,0.0,0.831,0.0
Tropomyosin family,20,3,0.0,2.57,0.0
MAL family,4,1,0.0,0.0,0.0
Lyase 1 family,3,1,0.0,0.0,0.0
PAL/histidase family,3,1,0.0,0.0,0.0
MEMO1 family,3,1,0.0,0.0,0.0
MCTS1 family,3,1,0.0,0.0,0.0
CALHM family,7,2,0.0,6.043,0.0
BLM10 family,4,1,0.0,0.38,0.0
UDPGP type 1 family,3,1,0.0,0.0,0.0
UDP-glycosyltransferase family,9,3,0.0,2.157,0.0
UDP-glucose/GDP-mannose dehydrogenase family,3,1,0.0,0.0,0.0
UDP-N-acetylglucosamine 2-epimerase family; ROK (NagC/XylR) family,5,1,0.0,0.781,0.0
MIF4GD family,3,1,0.0,0.0,0.0
Orn/Lys/Arg decarboxylase class-II family,5,1,0.0,1.292,0.0
Oligoribonuclease family,3,1,0.0,5.204,0.0
ORC4 family,3,1,0.0,0.0,0.0
Aminoglycoside phosphotransferase family,3,1,0.0,0.0,0.0
Alpha-carbonic anhydrase family,3,1,0.0,7.561,0.0
FAH family,4,1,0.0,0.0,0.0
Eukaryotic ribosomal protein eL31 family,3,1,0.0,0.0,0.0
FMO family,3,1,0.0,0.0,0.0
Fto family,4,1,0.0,0.0,0.0
GINS3/PSF3 family,3,1,0.0,0.0,0.0
GDA1/CD39 NTPase family,12,3,0.0,4.511,0.0
GART family; Aldehyde dehydrogenase family,7,2,0.0,2.913,0.0
Gamma-BBH/TMLD family,8,1,0.0,0.0,0.0
GTP cyclohydrolase I type 2/NIF3 family,3,1,0.0,0.0,0.0
Zinc-containing alcohol dehydrogenase family,9,3,0.0,5.685,0.0
Glucose-6-phosphate dehydrogenase family,3,1,0.0,2.018,0.0
FGGY kinase family,13,3,0.0,2.698,0.0
ERGIC family,6,2,0.0,2.096,0.0
URM1 family,3,1,0.0,11.872,0.0
UPP synthase family,4,1,0.0,0.0,0.0
UPF0728 family,4,1,0.0,0.0,0.0
Arginase family,3,1,0.0,0.0,0.0
Archease family,3,1,0.0,3.911,0.0
Adenylate kinase family,21,5,0.0,8.849,0.0
Adaptor complexes small subunit family,13,3,0.0,8.51,0.0
Acyl-CoA oxidase family,7,2,0.0,0.493,0.0
V-ATPase E subunit family,3,1,0.0,0.0,0.0
Universal ribosomal protein uL30 family,3,1,0.0,4.348,0.0
Ubiquitin-conjugating enzyme family,49,12,0.0,10.755,0.0
Annexin family,6,2,0.0,0.0,0.0
Membrane-bound acyltransferase family,25,6,0.0,9.101,0.0
'GDXG' lipolytic enzyme family,3,1,0.0,0.0,0.0
Mandelate racemase/muconate lactonizing enzyme family,7,1,0.0,3.315,0.0
Nurim family,3,1,0.0,33.333,0.0
Ammonium transporter (TC 2.A.49) family,25,3,0.0,3.57,0.0
Acetyltransferase family,8,2,0.0,10.524,0.0
ATPase F chain family,4,1,0.0,12.216,0.0
VKOR family,3,1,0.0,0.0,0.0
Alpha-actinin family,7,2,0.0,2.416,0.0
Glucosamine/galactosamine-6-phosphate isomerase family,5,1,0.0,0.0,0.0
Mitochondrial Rho GTPase family,7,1,0.0,0.0,0.0
Metallo-dependent hydrolases superfamily,27,7,0.0,8.215,0.0
MoaB/Mog family; PAPS reductase family,5,1,0.0,6.004,0.0
NXF family,6,1,0.0,3.679,0.0
1-acyl-sn-glycerol-3-phosphate acyltransferase family,6,2,0.0,6.391,0.0
NAPRTase family,3,1,0.0,0.0,0.0
NAD(P)H dehydrogenase (quinone) family,3,1,0.0,0.0,0.0
N-acylglucosamine 2-epimerase family,3,1,0.0,0.0,0.0
Myelin proteolipid protein family,7,2,0.0,6.7,0.0
NOD1-NOD2 family,6,2,0.0,3.945,0.0
Glycosyltransferase 6 family,3,1,0.0,33.333,0.0
Proteasome subunit S10 family,4,1,0.0,0.0,0.0
AIG1 family,9,2,0.0,1.121,0.0
Complex I NDUFC2 subunit family,3,1,0.0,0.0,0.0
Sideroflexin family,3,1,0.0,2.404,0.0
APH-1 family,3,1,0.0,0.0,0.0
Metallophosphoesterase superfamily,8,2,0.0,2.664,0.0
Ribulose-phosphate 3-epimerase family,5,1,0.0,0.0,0.0
Ribose-phosphate pyrophosphokinase family,4,1,0.0,3.975,0.0
ADIPOR family,15,4,0.0,3.617,0.0
RecA family,17,3,0.0,2.716,0.0
Rad1 family,3,1,0.0,0.0,0.0
RRP4 family,3,1,0.0,0.0,0.0
GAMAD family,3,1,0.0,7.556,0.0
Enoyl-CoA hydratase/isomerase family,6,1,0.0,16.667,0.0
Endoribonuclease YbeY family,4,1,0.0,0.0,0.0
SCC4/mau-2 family,3,1,0.0,0.0,0.0
FAIM1 family,3,1,0.0,0.0,0.0
Alkaline ceramidase family,3,1,0.0,0.0,0.0
Aldo/keto reductase family,8,2,0.0,0.0,0.0
Nucleoredoxin family,3,1,0.0,6.284,0.0
WD repeat G protein beta family,3,1,0.0,0.0,0.0
